,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,space_type,location_type,primary_features__c,ideal_for__c,city_slug
0,19252,1,7.0,2670000.0,,,18700000.0,,,인사동에 위치한 넓은 미술 갤러리,인사동에 위치한 넓은 미술 갤러리,"이 미술관은 인사동에 위치한 심플한 공간입니다.
미술 전시회 혹은 쇼룸을 준비하는 디자이너에게 적합합니다.이 장소는 넓은 분위기의 공간으로 섬세함을 갖춘 외관으로 현대적인느낌을 더합니다. 미술 전시회를 위한 이 미술관은 깨끗한 천장 조명과 흰색 내벽로으로써 따뜻한 느낌을 더합니다. 잘 밝혀진 조명으로 공간을 깨끗한 곳으로 연출할 수 있습니다. 이 공간은 피팅룸, 의복 행거가 준비되어 있습니다.
종로3가역에 가까우며 현대적인 인기 명소와 창의적인 미술 갤러리에 둘러싸여 있습니다.
주변에 유명한 미술 갤러리가 많아 미술 행사 혹은 미술 전시회를 개최하는 디자이너 에게 추천합니다.","이 미술관은 인사동에 위치한 심플한 공간입니다.
미술 전시회 혹은 쇼룸을 준비하는 디자이너에게 적합합니다.이 장소는 넓은 분위기의 공간으로 섬세함을 갖춘 외관으로 현대적인느낌을 더합니다",Art Gallery,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Heating;Lighting;Security System;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets,Art Opening,seoul
8,19183,1,10.0,1000000.0,,,2500000.0,,,예술 행사를 위한 아늑한 미술관,예술 행사를 위한 아늑한 미술관,"이 공간은 삼청동에 있는 미술관 입니다.
예술 행사 혹은 팝업스토어를 준비하는 디자이너에게 적합합니다.이 장소는 아늑한 분위기의 공간으로 현대적이고 알록달록한 느낌을 갖춘 외관으로 클래식한 느낌을 더합니다.밝은 분위기의 공간으로 내부는 멋진 마룻 바닥과 베이직한 트랙 조명으로 느낌을 더합니다. 아름다운 조명으로 공간을 베이직한 느낌으로 연출할 수 있습니다. 이 공간은 피팅룸, 오픈 플랜과 계단을 갖추고 있으며 따뜻한저녁 행사에 적합합니다.
경복궁과 광화문에 가까우며 클래식한 인기 있는 레스토랑과 유명한 미술 갤러리에 둘러싸여 있습니다.
주변에 트렌디한 갤러리가 많아 미술 행사 혹은 미술 전시회를 준비하는 예술가에게 적합한 공간입니다. 삼청동의 이 공간 에서 팝업스토어로 완벽한 팝업 경험을 기획해보세요.","이 공간은 삼청동에 있는 미술관 입니다.
예술 행사 혹은 팝업스토어를 준비하는 디자이너에게 적합합니다.이 장소는 아늑한 분위기의 공간으로 현대적이고 알록달록한 느낌을 갖춘 외관으로 클래식한 느낌을 더합니다.밝은 분위기의 공간으로 내부는 멋진 마룻 바닥과 베이직한 트랙 조명으로 느낌을 더합니다",Art Gallery,,Air Conditioning;Furniture;Electricity;Heating;Lighting;Security System;Stock Room;Internet;Toilets;Daylight,Art Opening;Product Launch;Pop-Up Store;Corporate Event;Photoshoot & Filming,seoul
9,19168,7,30.0,,9240000.0,,3300000.0,,,인사동 문화의 거리에 위치한 현대적인 갤러리,인사동 문화의 거리에 위치한 현대적인 갤러리,"이 공간은 인사동에 위치한 클래식하며 바로 사용가능한 전시 공간입니다.
저녁 행사 또는 독점 판매를 개최하고자 하는 창의적인 전문가에게 적합합니다. 이 건물의 입구는 트렌디하며, 찾기 쉽게 되어있습니다. 미술 전시회를 개최하기에 적합하며 노출 배관과 트랙 조명으로써 세련된 느낌을 더합니다. 이 공간은 피팅룸, 의복 행거와 고급 장식이 준비되어 있습니다.
탑골공원과 인사동 문화의 거리와 가깝고 역사적인 지역에 위치하고 있습니다.
멋진 경험을 선사하는 공간들에 둘러싸여있어 미술 전시회를 준비하는 디자이너와 브랜드 를 위한 좋은 기회가 될 것입니다. 이 멋진 공간에서 미술 전시회를 가져보세요.","이 공간은 인사동에 위치한 클래식하며 바로 사용가능한 전시 공간입니다.
저녁 행사 또는 독점 판매를 개최하고자 하는 창의적인 전문가에게 적합합니다",Art Gallery,,Air Conditioning;Counters;Electricity;Heating;Lighting;Security System;Internet;Office Equipment;Sound & Video Equipment;Whitebox / Minimal,Art Opening,seoul
15,19167,7,30.0,,9240000.0,,3300000.0,,,인사동의 클래식한 갤러리,인사동의 클래식한 갤러리,"이 공간은 인사동에 위치한 바로 사용가능한 전시 공간입니다.
전시회, 독점 판매 등을 개최하고자 하는 창의적인 전문가에게 어울리는 공간입니다. 이 건물은 멀리서도 눈에 띄며, 미술 전시회를 개최하기에 적합합니다. 또한, 노출 배관과 트랙 조명으로써 세련된 느낌을 더합니다. 이 공간은 피팅룸, 의복 행거와 고급 장식이 준비되어 있습니다. 
탑골공원과 인사동 문화의 거리와 가깝고 역사적인 지역에 위치하고 있습니다. 
멋진 경험을 선사하는 공간들에 둘러싸여있어 미술 전시회를 준비하는 디자이너와 브랜드 를 위한 좋은 기회가 될 것입니다. 이 멋진 공간에서 미술 전시회를 가져보세요.","이 공간은 인사동에 위치한 바로 사용가능한 전시 공간입니다.
전시회, 독점 판매 등을 개최하고자 하는 창의적인 전문가에게 어울리는 공간입니다",Art Gallery,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Heating;Lighting;Security System;Stock Room;Internet;Office Equipment;Sound & Video Equipment;Toilets;Whitebox / Minimal,Art Opening,seoul
35,19254,1,7.0,857000.0,,,6000000.0,,,인사동 갤러리에 둘러싸인 미술관,인사동 갤러리에 둘러싸인 미술관,"이 갤러리는 인사동에 있는 미술관 입니다.
예술 행사 또는 쇼룸을 개최하는 예술가에게 적합합니다. 이 장소는 넓은 분위기의 공간으로  섬세함을 갖춘 외관으로 현대적인느낌을 더합니다. 미술 전시회를 위한 이 미술관은 깨끗한 천장 조명으로 따뜻한 느낌을 더합니다. 잘 밝혀진 조명으로 공간을 깨끗한 곳으로 연출할 수 있습니다. 이 공간은 피팅룸, 의복 행거가 준비되어 있습니다.
종로3가역과 인사동 갤러리들에 둘러싸여 꾸준한 트래픽이 발생합니다.","이 갤러리는 인사동에 있는 미술관 입니다.
예술 행사 또는 쇼룸을 개최하는 예술가에게 적합합니다",Art Gallery,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Heating;Lighting;Security System;Internet;Window Display;Sound & Video Equipment;Toilets,Art Opening,seoul
80,19239,1,10.0,1000000.0,50000000.0,,2500000.0,,,삼청동에 위치한 아늑한 현대 미술관,삼청동에 위치한 아늑한 현대 미술관,"삼청동의 아늑한 지역에 위치한 이 현대 미술관은 예술 관련 행사, 저녁 행사 또는 패션 위크 쇼룸에 이상적입니다.
이 공간은 현대적인 정면을 자랑합니다. 훌륭한 시야가있는 아늑한 느낌이 있습니다. 이 화이트 박스 샵은 트랙 조명과 흰 벽의 기본 인테리어로 고전적입니다. 환영하는 분위기의 창문과 조명이 잘 어우러져 있습니다. 이 가게는 의자와 테이블, 카운터 및 피팅 룸이있는 미술 전시회를 위해 잘 갖춰져 있습니다.

이 환영 공간은 경복궁과 가까운 삼청동의 평판이 좋은 지역에 위치하고 있습니다. Art Exhibitions, Art Events 및 Pop-Up Stores를 개최 할 수있는 놀라운 공간입니다.","삼청동의 아늑한 지역에 위치한 이 현대 미술관은 예술 관련 행사, 저녁 행사 또는 패션 위크 쇼룸에 이상적입니다.
이 공간은 현대적인 정면을 자랑합니다",Restaurant / Bar / Cafe,,Air Conditioning;Furniture;Counters;Electricity;Fitting Rooms;Heating;Kitchen;Lighting;Security System;Street Level;Internet;Toilets,Art Opening;Product Launch;Pop-Up Store;Food Event;Corporate Event;Photoshoot & Filming,seoul
110,19570,14,365.0,,500000.0,,300000.0,,,연세대 앞 커피스미스 야외 공간,연세대 앞 커피스미스 야외 공간,"연세로 중앙에 있는 카페의 야외 공간입니다.
대로변을 향하고 있는 공간이며 나무데크 공간입니다. 철제의자와 테이블이 구비되어있으며 카페 내부와는 이동가능한 유리문으로 나뉘어져 있습니다. 대로변에 오픈된 공간으로 지나가는 대중의 시선을 사로잡을 수 있습니다. 카페와 연결되어 있는 공간으로 다양하게 활용할 수 있습니다.
연세대학교에서 신촌역으로 가는 길목에 있으며 20대 대학생의 유동인구가 많은 지역입니다.","연세로 중앙에 있는 카페의 야외 공간입니다.
대로변을 향하고 있는 공간이며 나무데크 공간입니다",Restaurant / Bar / Cafe,,Air Conditioning;Furniture;Counters;Electricity;Heating;Lighting;Security System;Internet;Office Equipment;Sound & Video Equipment;Toilets,Pop-Up Store;Food Event,seoul
135,19253,1,7.0,857000.0,,,6000000.0,,,인상동에 위치한 세련된 미술 전시 공간,인상동에 위치한 세련된 미술 전시 공간,"이 공간은 인사동에 위치한 자유분방한 쇼룸입니다.
미술 전시회 혹은 쇼룸을 준비하는 디자이너에게 적합합니다. 미술 전시회를 위한 이 미술관은 깨끗한 천장 조명과 흰색 내벽로으로 따뜻한 느낌을 더합니다. 잘 밝혀진 조명으로 공간을 깨끗한 곳으로 연출할 수 있습니다. 이 공간은 피팅룸, 의복 행거가 준비되어 있습니다.
종로3가역과 가깝고 활기찬 지역에 위치하고 있습니다.
주변에 유명한 미술 갤러리가 많아 미술 행사 혹은 미술 전시회 예술가 에게 적합한 공간입니다. 이 공간에서 당신의 브랜드에 대한 노출을 극대화하세요.","이 공간은 인사동에 위치한 자유분방한 쇼룸입니다.
미술 전시회 혹은 쇼룸을 준비하는 디자이너에게 적합합니다",Art Gallery,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Heating;Lighting;Security System;Internet;Window Display;Sound & Video Equipment;Toilets;Daylight,Art Opening,seoul
909,30855,7,672.0,,14000000.0,,1500000.0,True,250000.0,"Creative Space in Dong Dae Mun, Seoul","Creative Space in Dong Dae Mun, Seoul","ArtistCave is intended to host a film and art oriented working space and community, where like-minded people can share their experience. It is located in Jongno Gu ( near the famous Dongdaemun Design Plaza), center of Seoul. 2 minute walking from subway station. 
  
2nd Floor is the office area, currently we have 10 offices available for 1-8 people scale companies. We provide shared kitchen, free coffee and snacks, break lounge with music. 
Basement Floor, we provide shared meeting rooms, photo/cinematography studio (discounted rental for ArtistCave tenants), includes a CYC wall studio, a Makeup room, a Sound recording room(insulated) and a screening lounge.",,Creative Space,,Air Conditioning;Furniture;Electricity;Fitting Rooms;Heating;Kitchen;Lighting;Security System;Stock Room;Internet;Office Equipment;Sound & Video Equipment;Toilets;Living Space;Bathroom;Bar;Daylight;Industrial;Private Parking;Multiple Rooms;Water Access;Smoking Area;Animals Friendly;Soundproof,Private Sale;Art Opening;Product Launch;Corporate Event;Photoshoot & Filming;Conference;Meeting;Office;Photo Shooting,seoul
1355,33519,1,1.0,9000000.0,,9000000.0,,False,,,"The PLAZA Seoul, Presidential Suite room","The Presidential Suite is a truly exclusive space, befitting guests of special importance. This is THE PLAZA Seoul, Autograph
Collection's quintessential suite room, boasting unique designs and functions and an exceptionally spacious bathroom with a sauna, complemented by guest rooms and a reception room. 
Enjoy experience beyond expectations in THE PLAZA Seoul's unique Presidential Suite.",,Advertisement Space,,Air Conditioning;Heating;Internet;Bathroom;Elevator;Concierge,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming;Photo Shooting,seoul
1515,33335,1,1.0,18150000.0,,18150000.0,,False,,"The PLAZA Seoul, Royal Plaza Suite room","The PLAZA Seoul, Royal Plaza Suite room","Reserved for only the most distinguished guests, the Royal Plaza Suite offers the very highest levels of accommodation, based on a traditional theme. 

Here, a fundamentally classical European design is complemented by East Asian colors and patterns to create an ambiance found nowhere else.

This is Korea's most exclusive suite room, where discerningly appointed artworks and decorative objects add further flourishes to an atmosphere of unadulterated refinement. 

Enjoy an experience beyond expectations in the Royal Plaza Suite.",,Event Space,,Air Conditioning;Furniture;Electricity;Fitting Rooms;Heating;Lighting;Internet;Living Space;Bathroom;Elevator;Large Door Entrance;Multiple Rooms;Concierge,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming;Photo Shooting,seoul
1613,24770,1,,4000000.0,40000000.0,5000000.0,24000000.0,True,275000.0,"갤러리, 팝업스토어, 쇼케이스, 전시 등 다목적 공간 입니다.","갤러리, 팝업스토어, 쇼케이스, 전시 등 다목적 공간 입니다.","We are renting our space for retail shop, showroom, art show, installation, exhibition or more with a pop-up rental. 

If you are an entrepreneur, startup, creator, artist or salesman, or simply have a concept that you would like to market, we would love to support you by showcasing your project for a reasonable price.","We are renting our space for retail shop, showroom, art show, installation, exhibition or more with a pop-up rental.",Event Space,,Air Conditioning;Furniture;Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Stock Room;Internet;Sound & Video Equipment;Toilets,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Shopping Mall;Photoshoot & Filming;Food & Beverage,seoul
1663,20937,1,28.0,50000000.0,500000000.0,50000000.0,50000000.0,False,,이태원에 위치한 화이트박스 갤러리,이태원에 위치한 화이트박스 갤러리,"이태원의 여유로운 공간에 위치한 이 예술 공간은 팝업 레스토랑이나 개인 팝업을 하기에 이상적입니다.

엄선된 프런티지와 유리 디스플레이 창을 갖춘 이 소매 공간은 훌륭한 시야를 제공하며 공간은 훌륭한 한국 예술품과 조명이 잘된 자연 채광으로 가득합니다. 천장 빔, 광택 콘크리트 및 현대 창문이있는 세련된 인테리어가 있습니다. 공간은 전체적으로 밝고 현대적인 분위기입니다. 부엌, 영화관 및 2 개의 욕실을 포함한 광범위한 시설을 갖추고 있습니다.","이태원의 여유로운 공간에 위치한 이 예술 공간은 팝업 레스토랑이나 개인 팝업을 하기에 이상적입니다.

엄선된 프런티지와 유리 디스플레이 창을 갖춘 이 소매 공간은 훌륭한 시야를 제공하며 공간은 훌륭한 한국 예술품과 조명이 잘된 자연 채광으로 가득합니다",Art Gallery,,Furniture;Kitchen;Lighting;Window Display;Office Equipment;Toilets,Pop-Up Store;Food Event,seoul
2119,32194,1,112.0,110000.0,1600000.0,110000.0,500000.0,True,17000.0,,Small cozy gallery in Itaewon,"This is a cute and cozy gallery space on ground floor of Itaewon neighborhood. It's perfect for young, experimental artists to showcase their work of art. Animal friendly :)",,Art Gallery,,Air Conditioning;Electricity;Heating;Lighting;Security System;Street Level;Internet;Window Display;Office Equipment;Ground Floor;Daylight;Animals Friendly,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Photoshoot & Filming;Photo Shooting,seoul
2735,34869,1,7.0,1200000.0,,1400000.0,,False,,Tiramisu Cafe Rental for Special Events in Hapjeong,Tiramisu Cafe Rental for Special Events in Hapjeong,"Our cafe sells tiramisu desserts, drinks, and alcoholic beverages, and offers a spacious space of 199m2. It is located within a 3-minute walk from Exit 8 of Hapjeong Station.

1. Outdoor terrace space, 4 tables, 16 seats in total

2. Cafe space 199m2

3. 81 seats in the cafe, maximum capacity of 180 people

4. 9 Bluetooth 5.0 speakers inside the cafe


5. One 120-inch projector screen, one 80-inch screen

6. 2 wired microphones

7. 3300 ANSI 45000:1 contrast ratio projector

8. Wheelchair accessible, elevator available

9. Outdoor 24/7 public access, disabled toilet available

10, Have been hosted numerous events so far! Wedding parties, seminars, competitions etc.",It is located within a 3-minute walk from Exit 8 of Hapjeong Station.,Restaurant / Bar / Cafe,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Internet;Window Display;Sound & Video Equipment;Toilets;Bathroom;Bar;Elevator;Private Parking;Liquor Licence;Large Door Entrance;Water Access;Smoking Area;Concierge;Animals Friendly;Soundproof;Terrace,Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Photo Shooting,seoul
2863,33542,1,,480000.0,5000000.0,480000.0,2400000.0,True,120000.0,"White  cube art gallery in the most luxury art and fashion district in Gangnam, Chungdam, Seoul","White  cube art gallery in the most luxury art and fashion district in Gangnam, Chungdam, Seoul","This gallery is located in the most luxurious and prestigious district with luxury fashion flagship stores such as Chanel, LVMH, Gucci, CD, Burberry, super cars brands like Rolls Royce, art galleries, and K Pop entertainment companies in Chungdam dong, Gangnam, Seoul.  청담동 명품거리 위치 

 Additional charges can be applied for screwing nails on the wall.","This gallery is located in the most luxurious and rich district with luxury fashion, car, art, and entertainment business in Gangnam, Seoul.",Art Gallery,,Air Conditioning;Furniture;Counters;Electricity;Fitting Rooms;Handicap Accessible;Heating;Lighting;Security System;Internet;Office Equipment;Toilets;Bathroom;Elevator;Daylight;Whitebox / Minimal;Private Parking;Large Door Entrance,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming;Conference;Meeting;Office;Photo Shooting,seoul
2944,30498,1,84.0,800000.0,120000000.0,1000000.0,4000000.0,False,,"Minimal space in the most trendy area, SeongSu-dong in Seoul",성수동 서울숲 옆 유럽감성의 스튜디오,"Modern and minimal space in the most trendy Seongsu district of Seoul is perfect for pop-up stores, flea markets, advertisement, filming, etc.  

It is a brick building, which is traditional to the Seongsu district has wide window walls on two sides of the building, and is in a good accessible location on the main street.","Modern and minimal space in the most trendy Seongsu district of Seoul is perfect for pop-up stores, flea markets, advertisement, filming, etc.  

It is a brick building, which is traditional to the Seongsu district has wide window walls on two sides of the building, and is in a good accessible location on the main street.",Event Space,,Air Conditioning;Furniture;Counters;Electricity;Heating;Lighting;Security System;Stock Room;Street Level;Internet;Window Display;Toilets;Stunning View;Ground Floor;Bathroom;Whitebox / Minimal;Private Parking;Water Access;Concierge;Animals Friendly,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Food & Beverage;Meeting;Office;Photo Shooting,seoul
3032,34405,1,,720000.0,82000000.0,720000.0,3600000.0,True,80000.0,이태원의 룩북/웨딩/개인작업/영상/전시회(오브제관련)/오디오 작업까지 모두 진행하는 화이트 톤의 스튜디오,"[스튜디오시수] 이태원 브랜드팝업, 플리마켓, 촬영장소 등 (룩북/웨딩/전시회/영상/개인작업/프로필) cyc wall","이태원 경리단길에 위치한 깔끔하고 정갈한 분위기 스튜디오시수 입니다. 브랜드팝업, 플리마켓, 촬영장소 등 다양하게 공간을 활용할 수 있습니다.(룩북/웨딩/전시회/영상/개인작업/프로필)
나뭇가지를 연상시키는 행거, 조약돌, 대마 원단 등 천연 소재로 꾸며진 인테리어는 마치 자연 속에 있는 듯한 느낌을 자아냅니다. 마치 갤러리에 온 듯한 기분이 드는 B룸에는 미니 정원으로 꾸며진 야외 테라스가 있고, 통창 앞 소월길에서 야외 촬영이 가능합니다. 

▶ A룸(1층) - 24평
- 이동식 가벽이 있어 공간 활용이 높은 편이며 자연광을 이용한 제품 사진이나 룩북사진 모델컷 등 다양한 연출컷이 가능합니다.
- A룸 안쪽 움직이는 벽을 살짝 밀면 대형 전신 거울이 보임과 함께 새로운 질감의 가벽이 하나 더 만들어져, 이는 새로운 촬영 포인트가 됩니다.

▶ B룸(2층) - 24평
- 실내 호리존, 야외 호리존이 모두 있는 룸으로 자연광과 외부 자연스러운 연출컷을 하기에 적합한 룸입니다.
주로 룩북컷, 모델컷이나 호리존을 활용한 제품컷이 많이 활용됩니다.
- 남산에서 내려오는 빛이 스튜디오에 내리쬐어 조명이 필요 없을 정도의 자연광이 채워지는 공간입니다.
자연광이 드리우는 야외 호리존은 하늘과 구름을 오브제 삼아 촬영하실 수 있는 스팟입니다.

▶ 사무공간(지하 1층) - 24평
- 1주일 이상 장소대관을 하시는 분에 한하여 공간 대여 해드립니다. 
*이 공간은 문의/협의 후 이용 가능합니다.","깔끔하고 정갈한 분위기의 스튜디오입니다. 나뭇가지를 연상시키는 행거, 조약돌, 대마 원단 등 천연 소재로 꾸며진 인테리어는 마치 자연 속에 있는 듯한 느낌을 자아냅니다. 마치 갤러리에 온 듯한 기분이 드는 B룸에는 미니 정원으로 꾸며진 야외 테라스가 있고, 통창 앞 소월길에서 야외 촬영이 가능합니다.",Photo / Filming Studio,,Furniture;Electricity;Fitting Rooms;Handicap Accessible;Heating;Lighting;Security System;Internet;Toilets;Ground Floor;Bathroom;Concierge,Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Shopping Mall;Photoshoot & Filming;Conference;Photo Shooting,seoul
3221,35250,1,84.0,700000.0,,800000.0,,False,,Popup and Exhibition Space in Hannam-dong UN Village,한남동 유엔빌리지 (Hannamdong UN Village) 팝업 및 전시,"한남동 유엔빌리지에 위치한 팝업 및 전시 공간

안녕하세요! 한남동 유엔빌리지에 위치한 팝업 및 전시 공간에 오신 것을 환영합니다. 우리의 공간은 창의적이고 독특한 아이디어를 구현하고자 하는 다양한 브랜드, 아티스트, 디자이너들을 위한 이상적인 장소입니다. 여기에서는 당신의 브랜드 런칭, 제품 팝업, 아트 전시회 등 다양한 이벤트를 개최할 수 있습니다. 고급스러운 분위기와 도심 속의 평화로운 휴식처가 공존하는 이곳에서 특별한 경험을 즐기세요.

Popup and Exhibition Space in Hannam-dong UN Village

Welcome to our popup and exhibition space located in Hannam-dong UN Village! Our space is an ideal venue for diverse brands, artists, and designers looking to bring creative and unique ideas to life. Whether you're planning a brand launch, product popup, art exhibition, or other events, we provide the perfect setting. Enjoy a sophisticated atmosphere and a peaceful retreat in the heart of the city, making this a special place to host and experience a variety of events.",Welcome to our popup and exhibition space located in Hannam-dong UN Village!,Event Space,,Air Conditioning;Counters;Internet;Window Display;Toilets;Ground Floor;Large Door Entrance;Animals Friendly,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Shop Share;Photo Shooting,seoul
3630,35201,1,336.0,2500000.0,,3500000.0,,False,,Cavehouse in Pyeongchang,Traditional House in Pyeongchang,"Discover the epitome of charm at our Hanok house in Pyeongchangdong, Seoul, just 20 minutes away from Gangnam. This hidden gem is not just a venue; it's an experience. Ideal for film and photo shoots, our Hanok offers an authentic backdrop capturing the essence of Korean tradition. 

Whether it's a special event or a corporate gathering, we provide the perfect blend of historic elegance and modern convenience. Complete your experience with catering services, making your occasion truly unforgettable. Book now and let our Hanok elevate your event to new heights.","Whether it's a special event or a corporate gathering, we provide the perfect blend of historic elegance and modern convenience.",Event Space,,Toilets;Stunning View;Ground Floor;Garden;Large Door Entrance;Terrace,Art Opening;Pop-Up Store;Food Event;Corporate Event;Photoshoot & Filming;Food & Beverage;Meeting;Photo Shooting,seoul
3693,34004,1,,2400000.0,52500000.0,3500000.0,15000000.0,False,,"Large Space within center of Seoul, Hannam/Itaewon","Large Space within center of Seoul, Hannam/Itaewon","Huge space of 900 sq meters located in Hannam-dong/ Itaewon, Seoul. 

Great spot for film/entertainment, convention, event, and party. Private Parking for 10, and valet for more than 50 are available. 
Kitchen, Bar, and Cafe are also available. Catering and concierge service are also provided.

Exceptional film/entertainment and businesses have rented the space in the past, including Google/Youtube, Samsung, BMW, Subway, Galleries, movie and music video shootings, and more. 

Inquire about your venue hire, and we will kindly be back to you!



We aim to showcase unique spaces that hold significant meaning to the brand, from our venue in Hannam and Mountainhouse in Yongin to the historic Pyeongsanjae in Pyeongchang-dong.","Exceptional film/entertainment and businesses have rented the space in the past, including Google/Youtube, Samsung, BMW, Subway, Galleries, movie and music video shootings, and more.",Event Space,,Air Conditioning;Furniture;Electricity;Fitting Rooms;Heating;Kitchen;Lighting;Security System;Street Level;Internet;Toilets;Bar;Industrial;Private Parking;Liquor Licence;Large Door Entrance;Multiple Rooms;Water Access;Smoking Area;Concierge;Animals Friendly,Fashion Show;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Shopping Mall;Photoshoot & Filming;Food & Beverage;Photo Shooting,seoul
